id,type,avg_energy,avg_cost,date
0,daily,0.5134262228260675,0.09833611413043623,2020-09-01
1,daily,0.5130772950819478,0.09826426229508341,2020-09-02
2,daily,0.512722005494486,0.0981910439560454,2020-09-03
3,daily,0.512304475138102,0.09810616022099591,2020-09-04
4,daily,0.5118859722222027,0.09802000000000145,2020-09-05
5,daily,0.5114436312848966,0.09792963687150984,2020-09-06
6,daily,0.5140130337078456,0.09844876404494529,2020-09-07
7,weekly,3.5193404000006057,0.6742173999999761,2020-08-10
8,weekly,3.5193404000006057,0.6742173999999761,2020-08-17
9,weekly,3.6408150000006336,0.6976645833333085,2020-08-24
10,weekly,3.6408150000006336,0.6976645833333085,2020-08-31
11,monthly,12.78236999997869,2.4245333333347,2020-04-01
12,monthly,12.834593999978685,2.4346980000013057,2020-05-01
13,monthly,12.9871449999787,2.4658737500011467,2020-06-01
14,monthly,13.07822833331223,2.484876666667588,2020-07-01
15,monthly,14.434109999977807,2.754545000001416,2020-08-01
16,monthly,15.72678999997796,3.0161750000012377,2020-09-01
17,yearly,45.62445441056115,9.170575656503042,2020-09-01
18,yearly,45.62445441056115,9.170575656503042,2020-09-01
19,yearly,45.62445441056115,9.170575656503042,2020-09-01
20,yearly,45.62445441056115,9.170575656503042,2020-09-01
