,user_id,month,year,power,date,power_kWh,unix_time,cost
0,1,Jul,2020,264668.00000005134,2020-07-20,4.364439999998897,1595203196,0.8836899999999148
1,1,Aug,2020,168599.41999994882,2020-08-01,2.738030000000756,1596213575,0.4962200000000291
2,1,Sep,2020,29871.799999999865,2020-09-01,0.4958700000000241,1598889617,0.09559999999999745
3,2,Jul,2020,664933.4999997686,2020-07-20,11.078629999999889,1595203197,2.1934799999991
4,2,Aug,2020,1799060.3900000872,2020-08-01,29.95756000000115,1596213576,5.986069999999161
5,2,Sep,2020,169025.6000000003,2020-09-01,2.817649999999814,1598889618,0.5615599999999452
6,3,Jul,2020,597892.8999998268,2020-07-20,9.929799999999517,1595203198,1.9681099999997085
7,3,Aug,2020,204431.60000007512,2020-08-01,3.320109999999866,1596213577,0.6534200000000097
8,3,Sep,2020,8253.499999999996,2020-09-01,0.13212000000000007,1598889618,0.026440000000000036
9,4,Jul,2020,24185.299999990195,2020-07-20,0.3559400000000024,1595203199,0.06870999999999972
10,4,Aug,2020,113936.64999995606,2020-08-01,1.8227900000006603,1596213579,0.3385200000000127
11,4,Sep,2020,27549.500000000655,2020-09-01,0.44203000000000503,1598889619,0.0872099999999997
12,5,Jul,2020,1507250.4000001173,2020-07-20,25.12871999999337,1595203201,5.104489999998266
13,5,Aug,2020,2039519.300000633,2020-08-01,33.913430000004254,1596213580,6.828620000000233
14,5,Sep,2020,88208.80000000897,2020-09-01,1.4532600000000029,1598889620,0.2930399999999976
